id,tick,fire_entity,jump_entity,hurt_entity,flashed_entity,footstep_entity,swap_team_entity,kill_killer,kill_victim,kill_weapon,kill_assister,round_started,current_round,round_ended_winner,round_ended_reason
1,9599,,9,,,,,,,,,,2,,
1,9629,10,,3,,,,,,,,,2,,
1,9669,10,,3,,,,,,,,,2,,
1,9693,3,,,,,,,,,,,2,,
1,9698,10,,,,,,,,,,,2,,
1,9705,3,,10,,,,,,,,,2,,
1,9717,3,,10,,,,,,,,,2,,
1,9718,8,,,,,,,,,,,2,,
1,9728,3,,10,,,,3,10,304,,,2,,
1,9730,8,,,,,,,,,,,2,,
1,9740,3,,,,,,,,,,,2,,
1,9742,8,,,,,,,,,,,2,,
1,9751,3,,,,,,,,,,,2,,
1,9763,3,,,,,,,,,,,2,,
1,9774,3,,,,,,,,,,,2,,
1,9788,,9,,,,,,,,,,2,,
1,9816,2,,3,,,,2,3,2,10,,2,,
1,9819,4,,,,,,,,,,,2,,
1,9848,4,,,,,,,,,,,2,,
1,9867,8,,,,,,,,,,,2,,
1,9879,8,,,,,,,,,,,2,,
1,9885,2,,,,,,,,,,,2,,
1,9891,8,,,,,,,,,,,2,,
1,9893,4,,,,,,,,,,,2,,
1,9901,8,,,,,,,,,,,2,,
1,9911,,6,,,,,,,,,,2,,
1,9921,4,,8,,,,,,,,,2,,
1,9922,2,,,,,,,,,,,2,,
1,9946,4,,8,,,,,,,,,2,,
1,9951,2,,,,,,,,,,,2,,
1,9969,4,,8,,,,,,,,,2,,
1,9977,9,,,,,,,,,,,2,,
1,9981,2,,,,,,,,,,,2,,
1,9995,4,,,,,,,,,,,2,,
1,10009,9,,8,,,,,,,,,2,,
1,10015,2,,8,,,,,,,,,2,,
1,10018,4,,,,,,,,,,,2,,
1,10025,,7,,,,,,,,,,2,,
1,10037,8,,,,,,,,,,,2,,
1,10039,9,,8,,,,,,,,,2,,
1,10043,4,,,,,,,,,,,2,,
1,10046,2,,,,,,,,,,,2,,
1,10048,8,,2,,,,,,,,,2,,
1,10057,,,6,,,,,,,,,2,,
1,10060,8,,2,,,,,,,,,2,,
1,10061,9,,,,,,,,,,,2,,
1,10071,8,,2,,,,,,,,,2,,
1,10072,4,,,,,,,,,,,2,,
1,10081,2,,,,,,,,,,,2,,
1,10084,8,,2,,,,,,,,,2,,
1,10087,6,,,,,,,,,,,2,,
1,10094,8,,2,,,,8,2,302,,,2,,
1,10097,4,,,,,,,,,,,2,,
1,10107,8,,,,,,,,,,,2,,
1,10111,6,,,,,,,,,,,2,,
1,10118,8,,,,,,,,,,,2,,
1,10123,4,,,,,,,,,,,2,,
1,10130,8,,,,,,,,,,,2,,
1,10131,6,,,,,,,,,,,2,,
1,10140,8,,,,,,,,,,,2,,
1,10147,4,,,,,,,,,,,2,,
1,10153,9,,,,,,,,,,,2,,
1,10154,6,,,,,,,,,,,2,,
1,10168,7,,,,,,,,,,,2,,
1,10172,4,,,,,,,,,,,2,,
1,10179,7,,,,,,,,,,,2,,
1,10181,12,,,,,,,,,,,2,,
1,10182,6,,7,,,,,,,,,2,,
1,10190,12,,6,,,,,,,,,2,,
1,10191,7,,,,,,,,,,,2,,
1,10198,4,,,,,,,,,,,2,,
1,10199,12,,,,,,,,,,,2,,
1,10203,7,,6,,,,7,6,302,12,,2,,
1,10208,12,,,,,,,,,,,2,,
1,10214,7,,,,,,,,,,,2,,
1,10216,9,,,,,,,,,,,2,,
1,10223,4,,,,,,,,,,,2,,
1,10225,7,,,,,,,,,,,2,,
1,10238,7,,,,,,,,,,,2,,
1,10244,12,,,,,,,,,,,2,,
1,10248,7,,,,,,,,,,,2,,
1,10253,12,,,,,,,,,,,2,,
1,10374,5,,,,,,,,,,,2,,
1,10386,5,,4,,,,,,,,,2,,
1,10416,5,,,,,,,,,,,2,,
1,10428,5,,,,,,,,,,,2,,
1,10452,5,,,,,,,,,,,2,,
1,10465,5,,,,,,,,,,,2,,
1,10501,5,,,,,,,,,,,2,,
1,10505,8,,,,,,,,,,,2,,
1,10513,5,,,,,,,,,,,2,,
1,10517,8,,,,,,,,,,,2,,
1,10528,8,,,,,,,,,,,2,,
1,10530,9,,,,,,,,,,,2,,
1,10534,4,,,,,,,,,,,2,,
1,10537,5,,,,,,,,,,,2,,
1,10539,8,,4,,,,,,,,,2,,
1,10550,5,,,,,,,,,,,2,,
1,10551,8,,4,,,,,,,,,2,,
1,10556,4,,,,,,,,,,,2,,
1,10561,9,,,,,,,,,,,2,,
1,10562,8,,4,,,,8,4,302,,,2,,
1,10574,8,,,,,,,,,,,2,,
1,10575,5,,,,,,,,,,,2,,
1,10586,8,,,,,,,,,,,2,,
1,10587,5,,,,,,,,,,,2,,
1,10612,5,,9,,,,,,,,,2,,
1,10623,5,,,,,,,,,,,2,,
1,10656,9,,,,,,,,,,,2,,
1,10662,5,,,,,,,,,,,2,,
1,10673,5,,,,,,,,,,,2,,
1,10701,9,,,,,,,,,,,2,,
1,10741,5,,,,,,,,,,,2,,
1,10775,5,,,,,,,,,,,2,,
1,10794,9,,,,,,,,,,,2,,
1,10801,8,,9,,,,,,,,,2,,
1,10810,5,,,,,,,,,,,2,,
1,10824,9,,,,,,,,,,,2,,
1,10882,8,,9,,,,,,,,,2,,
1,10896,,12,,,,,,,,,,2,,
1,10897,,5,,,,,,,,,,2,,
1,10903,8,,,,,,,,,,,2,,
1,10906,9,,,,,,,,,,,2,,
1,10947,,12,,,,,,,,,,2,,
1,10970,9,,,,,,,,,,,2,,
1,11002,9,,,,,,,,,,,2,,
1,11014,8,,9,,,,8,9,9,,,2,3,8
1,11037,8,,,,,,,,,,,2,,
1,11049,,5,,,,,,,,,,2,,
1,11050,,12,,,,,,,,,,2,,
1,11133,,8,,,,,,,,,,2,,
1,11459,,7,,,,,,,,,,2,,
1,11473,,12,,,,,,,,,,2,,
1,11488,,5,,,,,,,,,,2,,
1,11528,,12,,,,,,,,,,2,,
1,11570,,5,,,,,,,,,,2,,
1,11593,,8,,,,,,,,,,2,,
1,11645,,5,,,,,,,,,,2,,
1,11655,,,,,,,,,,,1,3,,
1,14273,,9,,,,,,,,,,3,,
1,14291,3,,,,,,,,,,,3,,
1,14335,,6,,,,,,,,,,3,,
1,14352,,2,,,,,,,,,,3,,
1,14581,7,,,,,,,,,,,3,,
1,14603,,7,,,,,,,,,,3,,
1,14624,,5,,,,,,,,,,3,,
1,14675,,4,,,,,,,,,,3,,
1,14704,10,10,,,,,,,,,,3,,
1,14753,12,,,,,,,,,,,3,,
1,14779,6,,,,,,,,,,,3,,
1,14805,12,,,,,,,,,,,3,,
1,14869,7,,,,,,,,,,,3,,
1,14989,3,,,,,,,,,,,3,,
1,15001,,,,7,,,,,,,,3,,
1,15023,8,8,,,,,,,,,,3,,
1,15046,9,,,,,,,,,,,3,,
1,15076,,5,,,,,,,,,,3,,
1,15086,10,,,,,,,,,,,3,,
1,15090,,10,,,,,,,,,,3,,
1,15162,,4,,,,,,,,,,3,,
1,15173,12,,,,,,,,,,,3,,
1,15178,,6,,,,,,,,,,3,,
1,15211,,,,12,,,,,,,,3,,
1,15221,3,,,,,,,,,,,3,,
1,15232,5,,,,,,,,,,,3,,
1,15246,,,,12,,,,,,,,3,,
1,15308,,,,10,,,,,,,,3,,
1,15330,9,,,,,,,,,,,3,,
1,15360,7,,,,,,,,,,,3,,
1,15388,,2,,,,,,,,,,3,,
1,15405,,9,,,,,,,,,,3,,
1,15443,,,,12,,,,,,,,3,,
1,15460,,12,,,,,,,,,,3,,
1,15463,6,,,,,,,,,,,3,,
1,15476,6,,,,,,,,,,,3,,
1,15489,6,,,,,,,,,,,3,,
1,15502,6,,,,,,,,,,,3,,
1,15515,6,,,,,,,,,,,3,,
1,15527,6,,,,,,,,,,,3,,
1,15540,6,,,,,,,,,,,3,,
1,15553,6,,,,,,,,,,,3,,
1,15566,6,,,,,,,,,,,3,,
1,15584,5,,,,,,,,,,,3,,
1,15665,,10,,,,,,,,,,3,,
1,15669,,8,,,,,,,,,,3,,
1,15675,,9,,,,,,,,,,3,,
1,15681,3,,,,,,,,,,,3,,
1,15755,2,,,,,,,,,,,3,,
1,15820,,3,,,,,,,,,,3,,
1,15862,,10,,,,,,,,,,3,,
1,15872,9,,,,,,,,,,,3,,
1,15885,9,,,,,,,,,,,3,,
1,15898,9,,,,,,,,,,,3,,
1,15904,,2,,,,,,,,,,3,,
1,15911,9,,,,,,,,,,,3,,
1,15924,9,,,,,,,,,,,3,,
1,15936,9,,,,,,,,,,,3,,
1,15949,9,,,,,,,,,,,3,,
1,16020,12,,,,,,,,,,,3,,
1,16025,9,,,,,,,,,,,3,,
1,16038,9,,,,,,,,,,,3,,
1,16044,,8,,,,,,,,,,3,,
1,16051,9,,,,,,,,,,,3,,
1,16136,2,,,,,,,,,,,3,,
1,16158,9,,,,,,,,,,,3,,
1,16171,9,,,,,,,,,,,3,,
1,16183,,2,,,,,,,,,,3,,
1,16184,9,,,,,,,,,,,3,,
1,16197,9,,,,,,,,,,,3,,
1,16210,9,,,,,,,,,,,3,,
1,16222,9,,,,,,,,,,,3,,
1,16235,9,,,,,,,,,,,3,,
1,16248,9,,,,,,,,,,,3,,
1,16264,,9,,,,,,,,,,3,,
1,16297,10,,,,,,,,,,,3,,
1,16310,10,,,,,,,,,,,3,,
1,16323,10,,,,,,,,,,,3,,
1,16330,,9,,,,,,,,,,3,,
1,16337,10,,,,,,,,,,,3,,
1,16349,10,,,,,,,,,,,3,,
1,16358,8,,,,,,,,,,,3,,
1,16361,10,,,,,,,,,,,3,,
1,16374,10,,,,,,,,,,,3,,
1,16469,,8,,,,,,,,,,3,,
1,16472,,9,,,,,,,,,,3,,
1,16487,,7,,,,,,,,,,3,,
1,16628,3,,,,,,,,,,,3,,
1,16850,,,9,,,,,,,,,3,,
1,16854,,3,,,,,,,,,,3,,
1,16979,8,,,,,,,,,,,3,,
1,17105,4,,,,,,,,,,,3,,
1,17201,,,,10,,,,,,,,3,,
1,17239,,7,,,,,,,,,,3,,
1,17496,5,,,,,,,,,,,3,,
1,17605,8,,,,,,,,,,,3,,
1,17826,4,,,,,,,,,,,3,,
1,17831,,5,,,,,,,,,,3,,
1,17950,,7,,,,,,,,,,3,,
1,18038,,7,,,,,,,,,,3,,
1,18472,,8,,,,,,,,,,3,,
